account_id,client_id,type,balance_brl,opened_at,status
ACC000001,CLI00001,Corrente,6986.4,2024-05-11 15:46:46,Ativa
ACC000002,CLI00002,Corrente,12362.11,2023-06-19 19:42:26,Ativa
ACC000003,CLI00003,Corrente,706.53,2023-01-06 01:08:44,Ativa
ACC000004,CLI00004,Corrente,2672.39,2024-10-20 06:26:24,Ativa
ACC000005,CLI00005,Corrente,779.93,2023-10-08 21:21:55,Ativa
ACC000006,CLI00006,Corrente,1125.35,2024-10-09 20:56:43,Ativa
ACC000007,CLI00007,Corrente,710.31,2024-05-12 02:27:36,Ativa
ACC000008,CLI00007,Poupança,3916.2,2024-05-12 02:27:36,Ativa
ACC000009,CLI00008,Corrente,2374.34,2024-03-16 13:00:08,Ativa
ACC000010,CLI00009,Corrente,1648.03,2024-03-30 01:28:21,Ativa
ACC000011,CLI00010,Corrente,8554.2,2023-05-05 06:16:50,Ativa
ACC000012,CLI00011,Corrente,2939.31,2023-01-09 22:01:18,Ativa
ACC000013,CLI00012,Corrente,660.91,2024-11-11 07:04:55,Ativa
ACC000014,CLI00013,Corrente,798.64,2024-02-23 22:45:13,Ativa
ACC000015,CLI00013,Poupança,7017.73,2024-02-23 22:45:13,Ativa
ACC000016,CLI00014,Corrente,7279.9,2024-11-12 23:17:06,Ativa
ACC000017,CLI00015,Corrente,21616.27,2024-11-08 15:19:50,Ativa
ACC000018,CLI00016,Corrente,14102.56,2023-06-24 12:39:43,Ativa
ACC000019,CLI00017,Corrente,612.08,2023-01-25 09:34:47,Encerrada
ACC000020,CLI00018,Corrente,5486.13,2024-09-19 04:50:06,Ativa
ACC000021,CLI00019,Corrente,1135.86,2023-09-21 13:03:32,Ativa
ACC000022,CLI00020,Corrente,4464.25,2024-11-10 05:35:58,Ativa
ACC000023,CLI00020,Poupança,16187.21,2024-11-10 05:35:58,Ativa
ACC000024,CLI00021,Corrente,2983.75,2023-06-16 00:32:18,Ativa
ACC000025,CLI00022,Corrente,7350.09,2024-01-14 00:12:45,Ativa
ACC000026,CLI00023,Corrente,1346.99,2024-10-24 07:51:03,Ativa
ACC000027,CLI00023,Poupança,1301.59,2024-10-24 07:51:03,Ativa
ACC000028,CLI00024,Corrente,14262.7,2024-03-18 11:31:09,Ativa
ACC000029,CLI00025,Corrente,5910.53,2024-07-10 06:46:58,Ativa
ACC000030,CLI00026,Corrente,265.61,2023-02-26 21:40:43,Ativa
ACC000031,CLI00026,Poupança,430.17,2023-02-26 21:40:43,Ativa
ACC000032,CLI00027,Corrente,97.89,2024-06-30 10:56:05,Ativa
ACC000033,CLI00028,Corrente,1165.68,2023-05-01 17:45:32,Encerrada
ACC000034,CLI00029,Corrente,1659.21,2023-02-04 05:50:12,Ativa
ACC000035,CLI00030,Corrente,1334.39,2024-11-16 22:17:46,Ativa
ACC000036,CLI00031,Corrente,12611.97,2024-11-29 06:13:46,Ativa
ACC000037,CLI00032,Corrente,5396.63,2023-07-03 21:06:13,Ativa
ACC000038,CLI00033,Corrente,1487.99,2023-03-25 23:02:54,Ativa
ACC000039,CLI00034,Corrente,549.77,2023-11-06 11:56:39,Ativa
ACC000040,CLI00035,Corrente,662.86,2023-07-22 21:24:15,Ativa
