ticket_id,client_id,category,priority,opened_at,resolved_at,resolution_h,satisfaction
TK000001,CLI01307,Cobrança indevida,Baixa,2024-04-05 09:28:38,2024-04-08 05:28:38,68,1.0
TK000002,CLI02038,Problema no app,Alta,2023-06-02 17:04:16,2023-06-12 17:04:16,240,3.0
TK000003,CLI02038,Bloqueio de conta,Alta,2024-03-12 19:26:42,2024-03-14 09:26:42,38,4.0
TK000004,CLI02038,Problema no app,Média,2024-02-12 15:57:02,2024-02-21 06:57:02,207,4.0
TK000005,CLI02038,Problema no app,Baixa,2024-12-08 11:06:26,2024-12-11 17:06:26,78,1.0
TK000006,CLI00569,Bloqueio de conta,Baixa,2024-04-03 17:19:45,2024-04-06 04:19:45,59,3.0
TK000007,CLI01898,Fraude,Média,2024-01-13 15:42:24,2024-01-23 02:42:24,227,5.0
TK000008,CLI01898,Problema no app,Média,2024-11-08 19:22:00,2024-11-10 20:22:00,49,2.0
TK000009,CLI01898,Outros,Crítica,2023-05-02 14:23:37,2023-05-07 01:23:37,107,5.0
TK000010,CLI01898,Bloqueio de conta,Média,2023-08-09 16:38:29,2023-08-18 17:38:29,217,2.0
TK000011,CLI02499,Solicitação de crédito,Baixa,2023-05-04 13:34:07,2023-05-07 00:34:07,59,3.0
TK000012,CLI02499,Fraude,Alta,2024-03-22 13:36:15,2024-03-26 07:36:15,90,5.0
TK000013,CLI02499,Bloqueio de conta,Baixa,2024-09-10 17:58:18,2024-09-18 05:58:18,180,
TK000014,CLI01112,Outros,Alta,2023-07-13 16:31:21,2023-07-14 22:31:21,30,3.0
TK000015,CLI01112,Solicitação de crédito,Alta,2024-07-18 10:49:31,2024-07-23 01:49:31,111,1.0
TK000016,CLI01112,Dúvida geral,Alta,2024-09-12 14:27:20,2024-09-12 22:27:20,8,2.0
TK000017,CLI01236,Bloqueio de conta,Média,2023-12-14 13:57:59,2023-12-15 19:57:59,30,4.0
TK000018,CLI01236,Solicitação de crédito,Média,2024-01-12 16:33:38,2024-01-14 08:33:38,40,4.0
TK000019,CLI01124,Problema no app,Alta,2024-02-28 09:20:32,2024-03-02 21:20:32,84,1.0
TK000020,CLI02731,Outros,Baixa,2024-05-27 09:14:12,2024-05-28 21:14:12,36,3.0
TK000021,CLI02731,Bloqueio de conta,Baixa,2024-12-17 01:23:09,2024-12-20 20:23:09,91,4.0
TK000022,CLI02215,Problema no PIX,Baixa,2024-11-18 11:39:27,,219,1.0
TK000023,CLI02215,Problema no app,Baixa,2024-12-13 05:05:13,2024-12-13 23:05:13,18,4.0
TK000024,CLI02215,Bloqueio de conta,Média,2023-07-22 19:11:51,2023-07-26 05:11:51,82,1.0
TK000025,CLI01854,Outros,Baixa,2023-12-30 00:06:37,2024-01-01 19:06:37,67,
TK000026,CLI01397,Bloqueio de conta,Baixa,2024-07-05 05:19:12,,87,2.0
TK000027,CLI01397,Problema no PIX,Alta,2024-02-18 16:57:42,,142,1.0
TK000028,CLI01397,Fraude,Alta,2023-06-26 06:12:57,2023-06-28 16:12:57,58,5.0
TK000029,CLI00719,Outros,Alta,2024-08-13 20:46:30,2024-08-20 10:46:30,158,4.0
